SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230118-1513,2023-01-18 15:14:04Z,u01, 1167,100,walking,misc1, rt, d,126139.698134, -0.7615030065171662, -0.13056317301603532, 1.100003378637585, -0.002147143241018057, -0.14356602728366852, 0.023418758064508438, -0.684137225151062, 0.13019254803657532, -0.7176392674446106, 0.019037246704101562, 0.010569781064987183, 0.035495102405548096, 0.1421951454319175, -0.347794342759891, 0.7771134121822572,0.5048904037262779,-0.66510009765625,0.1407623291015625,-0.6821441650390625
20230118-1513,2023-01-18 15:14:04Z,u01, 1168,100,walking,misc1, rt, d,126139.708157, -0.7628732998129727, -0.13147400583507085, 1.1001378107724713, -0.01939537189900875, -0.13717710971832275, 0.028633493930101395, -0.6850377917289734, 0.13109557330608368, -0.7166151404380798, 0.022485971450805664, 0.01732669770717621, 0.04547250270843506, 0.14219904445602363, -0.34852812615887085, 0.7767291358520098,0.5049748136513224,-0.6625518798828125,0.1484222412109375,-0.671142578125
20230118-1513,2023-01-18 15:14:04Z,u01, 1169,100,walking,misc1, rt, d,126139.718179, -0.7641890167618267, -0.13206432328461715, 1.10014928302899, -0.040887538343667984, -0.12433162331581116, 0.03231941536068916, -0.6859263777732849, 0.13168077170848846, -0.7156571745872498, 0.020566940307617188, 0.005846694111824036, 0.047245919704437256, 0.14229648805260384, -0.3491748985870732, 0.7764239231674795,0.5049698098264938,-0.6653594970703125,0.1375274658203125,-0.6684112548828125
20230118-1513,2023-01-18 15:14:04Z,u01, 1170,100,walking,misc1, rt, d,126139.72820200001, -0.765248986605896, -0.132252219312523, 1.1000362667857229, -0.06145699694752693, -0.10843627899885178, 0.030101533979177475, -0.6866673827171326, 0.13186702132225037, -0.7149118781089783, 0.020850181579589844, -0.0015417039394378662, 0.02837318181991577, 0.14246900660347936, -0.3496378846625801, 0.7762440285679562,0.504877293830719,-0.6658172607421875,0.1303253173828125,-0.6865386962890625
20230118-1513,2023-01-18 15:14:04Z,u01, 1171,100,walking,misc1, rt, d,126139.73822500001, -0.7660494331691362, -0.13273150249887633, 1.0998417928364173, -0.06051509454846382, -0.10560000687837601, 0.025010185316205025, -0.6871955394744873, 0.1323421150445938, -0.7143163681030273, 0.006378889083862305, -0.008425474166870117, 0.005454063415527344, 0.1424448243870937, -0.35007325041887083, 0.7760939312978866,0.5048132591047103,-0.680816650390625,0.1239166259765625,-0.7088623046875
20230118-1513,2023-01-18 15:14:04Z,u01, 1172,100,walking,misc1, rt, d,126139.748248, -0.7665375766789198, -0.13307062194791983, 1.09983738286968, 0.00924348272383213, -0.08018599450588226, 0.018571460619568825, -0.6875129342079163, 0.13267824053764343, -0.7139484286308289, 0.0057350993156433105, 0.0009124875068664551, -0.015024960041046143, 0.14243130407833376, -0.3503413985398663, 0.7759675284854582,0.5048252560083267,-0.6817779541015625,0.1335906982421875,-0.728973388671875
20230118-1513,2023-01-18 15:14:04Z,u01, 1173,100,walking,misc1, rt, d,126139.75827, -0.7668169998271918, -0.1331255259186305, 1.1002274583117417, 0.03995748981833458, -0.06188102066516876, 0.01295330747961998, -0.6877073645591736, 0.13273265957832336, -0.7137511372566223, 0.00837087631225586, 0.0038945525884628296, -0.02153944969177246, 0.14254813256124205, -0.35043469369612923, 0.7758134349752425,0.5049645139173135,-0.6793365478515625,0.136627197265625,-0.73529052734375
20230118-1513,2023-01-18 15:14:04Z,u01, 1174,100,walking,misc1, rt, d,126139.768293, -0.7669700226305922, -0.13297678445051409, 1.1006502267015101, 0.051727596670389175, -0.025935271754860878, 0.0030593983829021454, -0.6878303289413452, 0.13258522748947144, -0.7136600613594055, 0.00637286901473999, -0.006623893976211548, -0.011330783367156982, 0.14272046609880126, -0.3504294878021625, 0.7756983298869243,0.5050963127205818,-0.68145751953125,0.1259613037109375,-0.7249908447265625
20230118-1513,2023-01-18 15:14:04Z,u01, 1175,100,walking,misc1, rt, d,126139.77831600001, -0.7671027599043113, -0.13289836370946387, 1.1010140287742376, 0.04856030270457268, 0.01517807599157095, 0.005800643935799599, -0.6879321932792664, 0.13250750303268433, -0.7135761976242065, 0.007802248001098633, 0.008575290441513062, -0.018342137336730957, 0.14284921861455308, -0.3504368621773867, 0.7755927225681309,0.5052167281604928,-0.6801300048828125,0.141082763671875,-0.7319183349609375
20230118-1513,2023-01-18 15:14:04Z,u01, 1176,100,walking,misc1, rt, d,126139.788339, -0.7670441580756198, -0.13319978824908976, 1.1013103591702467, 0.028238516300916672, 0.03842401131987572, 0.012152548879384995, -0.6878626346588135, 0.13280625641345978, -0.713587760925293, 0.005413413047790527, 0.020193636417388916, -0.0011492371559143066, 0.14276549718911116, -0.35046273348496937, 0.7754908864272457,0.505378905872859,-0.6824493408203125,0.1529998779296875,-0.7147369384765625
