SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230327-1504,2023-03-27 15:04:42,u01, 818,100,misc,misc1, lt, d,732423.7340990417, -1.0714853068452654, -0.15576481534498834, 0.17949046308229666, 0.11171135306358337, 0.0434497632086277, -0.10015495121479034, -0.8672839403152466, 0.15513570606708527, -0.47302377223968506, -0.019556879997253418, -0.03550678491592407, -0.03597903251647949, -0.021020393199303426, -0.512880346988046, 0.8502734712292798,0.11639121655009324,-0.8892974853515625,0.1373443603515625,-0.511627197265625
20230327-1504,2023-03-27 15:04:42,u01, 819,100,misc,misc1, lt, d,732423.7441220417, -1.0707409739487963, -0.15308653171729258, 0.1799840961009603, 0.10724865645170212, 0.06359018385410309, -0.09993044286966324, -0.8672930598258972, 0.1524892896413803, -0.47386667132377625, -0.022843480110168457, -0.002571702003479004, -0.03498345613479614, -0.019788765829079503, -0.5125183547419944, 0.8505851256650692,0.11592290135444701,-0.89007568359375,0.15863037109375,-0.508758544921875
20230327-1504,2023-03-27 15:04:42,u01, 820,100,misc,misc1, lt, d,732423.7541440417, -1.0697541988713246, -0.15063463965556276, 0.18055733391989232, 0.12134289741516113, 0.07698960602283478, -0.09648404270410538, -0.8671503663063049, 0.150065615773201, -0.474900484085083, -0.024374723434448242, 0.01759795844554901, -0.04095351696014404, -0.018647513555194197, -0.5120566722574101, 0.8509405713868579,0.11554362085795741,-0.8898468017578125,0.1776123046875,-0.5231170654296875
20230327-1504,2023-03-27 15:04:42,u01, 821,100,misc,misc1, lt, d,732423.7641670418, -1.068594667214057, -0.1486448532507651, 0.18126769898241327, 0.13014839589595795, 0.09066468477249146, -0.08447151631116867, -0.8668590784072876, 0.14809806644916534, -0.47604838013648987, -0.018455684185028076, 0.03960028290748596, -0.04561915993690491, -0.017679032277673833, -0.511530312383795, 0.8513055602675615,0.11533778736375391,-0.8846893310546875,0.1976470947265625,-0.5169219970703125
20230327-1504,2023-03-27 15:04:42,u01, 822,100,misc,misc1, lt, d,732423.7741890417, -1.0674669801869159, -0.14698993826460047, 0.18204884210466285, 0.12021960318088531, 0.08003413677215576, -0.06525281071662903, -0.8665353059768677, 0.14646120369434357, -0.477143257856369, -0.019481420516967773, 0.06423215568065643, -0.033507466316223145, -0.016834159237828356, -0.511023470423185, 0.8516394362714481,0.11524708456873217,-0.8840179443359375,0.234832763671875,-0.4984130859375
20230327-1504,2023-03-27 15:04:42,u01, 823,100,misc,misc1, lt, d,732423.7842120418, -1.0665464647540372, -0.14575290025004345, 0.1828297818377226, 0.1164739802479744, 0.06386928260326385, -0.04285413399338722, -0.866253674030304, 0.14523738622665405, -0.4780278503894806, -0.011813223361968994, 0.10947757959365845, -0.005675852298736572, -0.016156719993681484, -0.5106124061346471, 0.8518968628962164,0.11526322937111833,-0.87408447265625,0.266021728515625,-0.4753265380859375
20230327-1504,2023-03-27 15:04:42,u01, 824,100,misc,misc1, lt, d,732423.7942340417, -1.0657434515902338, -0.14487160198778692, 0.1836860629433237, 0.10791164636611938, 0.06339098513126373, -0.01823987066745758, -0.8659811019897461, 0.14436538517475128, -0.4787850081920624, -0.004517316818237305, 0.12664595246315002, 0.00589984655380249, -0.015606072481309859, -0.510258701855906, 0.8521001607354155,0.11540175969614895,-0.863250732421875,0.274749755859375,-0.471038818359375
20230327-1504,2023-03-27 15:04:42,u01, 825,100,misc,misc1, lt, d,732423.8042570417, -1.0649614076244547, -0.14421840444777334, 0.1846062950430031, 0.10874613374471664, 0.05945908650755882, -0.0046506645157933235, -0.8656888008117676, 0.14371898770332336, -0.4795077443122864, 0.009930253028869629, 0.12594959139823914, 0.012176752090454102, -0.015136022107734426, -0.5099186499156892, 0.8522820361789195,0.11562498525595455,-0.851318359375,0.2667694091796875,-0.4662628173828125
20230327-1504,2023-03-27 15:04:42,u01, 826,100,misc,misc1, lt, d,732423.8142790417, -1.0642072163467975, -0.14356175080647193, 0.1855724318975639, 0.11293847858905792, 0.05491839721798897, -0.011878217570483685, -0.8654091954231262, 0.14306911826133728, -0.480206161737442, 0.013556957244873047, 0.12629425525665283, 0.015087693929672241, -0.01465134970394828, -0.5095902834055497, 0.852453889736645,0.11586751988791191,-0.8504791259765625,0.272613525390625,-0.4619903564453125
20230327-1504,2023-03-27 15:04:42,u01, 827,100,misc,misc1, lt, d,732423.8243020417, -1.0635309199112828, -0.14279361565338927, 0.18639924059709592, 0.10791238397359848, 0.04867115616798401, -0.04417983070015907, -0.8651800155639648, 0.14230884611606598, -0.48084452748298645, 0.013785600662231445, 0.12821421027183533, 0.020029067993164062, -0.014149926777500776, -0.5092911833104661, 0.8526197618276382,0.11602383755235848,-0.85430908203125,0.266021728515625,-0.46026611328125
