SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230427-1428,2023-04-27 14:28:31,u02, 774,100,misc,misc2, lt, d,15612.122191625002, -0.6484268835724277, -0.2584986253473083, 0.2842746256685846, 0.15323930978775024, -0.08324749767780304, -0.023746030405163765, -0.5838675498962402, 0.25562936067581177, -0.7705532312393188, -0.06896448135375977, -0.20849502086639404, 0.023818671703338623, -0.07619171587988283, -0.3300275888659833, 0.9246991417840653,0.17380444025510566,-0.640960693359375,0.046600341796875,-0.7593994140625
20230427-1428,2023-04-27 14:28:31,u02, 775,100,misc,misc2, lt, d,15612.132214625, -0.649105433259372, -0.25686504345935374, 0.28503615902668133, 0.17549535632133484, -0.09090302139520645, -0.035650789737701416, -0.5846418738365173, 0.254049688577652, -0.7704885005950928, -0.08915567398071289, -0.17821359634399414, 0.03307706117630005, -0.07524225244786659, -0.3302943498302194, 0.9246559776387007,0.17394076836367417,-0.6683197021484375,0.06182861328125,-0.7381591796875
20230427-1428,2023-04-27 14:28:31,u02, 776,100,misc,misc2, lt, d,15612.142237625001, -0.6497090066173142, -0.2549947640465757, 0.2858999845606325, 0.2084498405456543, -0.07030133903026581, -0.03643588721752167, -0.5853932499885559, 0.2522403299808502, -0.7705124616622925, -0.07766211032867432, -0.18999981880187988, 0.025288522243499756, -0.07417152779783114, -0.33051829253997156, 0.9246352070509531,0.17408587158877228,-0.66876220703125,0.0760650634765625,-0.7381134033203125
20230427-1428,2023-04-27 14:28:31,u02, 777,100,misc,misc2, lt, d,15612.152260625, -0.6498703843128755, -0.252631952422994, 0.28727758199699777, 0.29836592078208923, -0.027652941644191742, -0.022964419797062874, -0.5858765840530396, 0.2499532252550125, -0.7708903551101685, -0.07458478212356567, -0.1844625473022461, 0.001038670539855957, -0.07282377581420359, -0.33053215728843977, 0.9246822517344641,0.17437868337537218,-0.6613616943359375,0.05206298828125,-0.7579498291015625
20230427-1428,2023-04-27 14:28:31,u02, 778,100,misc,misc2, lt, d,15612.162283625, -0.6494676763011097, -0.24985921752443074, 0.2890178636144217, 0.32004833221435547, 0.024211054667830467, -0.025812936946749687, -0.5859829783439636, 0.24726754426956177, -0.7716752290725708, -0.0757601261138916, -0.13716018199920654, 0.007911860942840576, -0.07127345937174205, -0.33027637346818955, 0.9248227503721805,0.17475806133554397,-0.659942626953125,0.093597412109375,-0.7710723876953125
20230427-1428,2023-04-27 14:28:31,u02, 779,100,misc,misc2, lt, d,15612.172306625002, -0.6540946029294645, -0.24163218050723148, 0.28952940922960113, 0.3209850788116455, 0.07227151840925217, -0.010941551998257637, -0.5907649397850037, 0.23928770422935486, -0.7705439925193787, -0.06202131509780884, -0.12193240225315094, 0.015020370483398438, -0.06693491197926997, -0.3320357014179333, 0.9246730328104615,0.1739299289135408,-0.660675048828125,0.1118927001953125,-0.75604248046875
20230427-1428,2023-04-27 14:28:31,u02, 780,100,misc,misc2, lt, d,15612.182329625, -0.656219470308978, -0.23395229226704456, 0.29061194064438023, 0.2767672836780548, 0.1022733598947525, 0.012297989800572395, -0.5935046672821045, 0.23182395100593567, -0.770720362663269, -0.04988217353820801, -0.09577663242816925, 0.012694239616394043, -0.0629771822690557, -0.33267657953910695, 0.9248300774221367,0.17334788424313224,-0.644775390625,0.1290283203125,-0.754669189453125
20230427-1428,2023-04-27 14:28:31,u02, 781,100,misc,misc2, lt, d,15612.192352625001, -0.6558249771022581, -0.2284562941502741, 0.2921401842123973, 0.23233214020729065, 0.10548433661460876, 0.030311159789562225, -0.5939685702323914, 0.22647419571876526, -0.7719525098800659, -0.05956530570983887, -0.07512232661247253, 0.006571710109710693, -0.06018573623148673, -0.3322670816954866, 0.9251877404345865,0.1732160567577219,-0.649383544921875,0.1414794921875,-0.7627716064453125
20230427-1428,2023-04-27 14:28:31,u02, 782,100,misc,misc2, lt, d,15612.202375625, -0.6556542320507993, -0.22435272821235394, 0.29342033610374335, 0.17027916014194489, 0.07963036745786667, 0.02829514443874359, -0.5943983793258667, 0.22247536480426788, -0.7727841138839722, -0.0641556978225708, -0.041506171226501465, 0.029299616813659668, -0.05806763373996663, -0.3320182194364834, 0.9254181503597652,0.17318578855024708,-0.6545867919921875,0.1658172607421875,-0.7592010498046875
20230427-1428,2023-04-27 14:28:31,u02, 783,100,misc,misc2, lt, d,15612.212399625001, -0.6561625724408906, -0.22154616605962527, 0.2939639394865751, 0.048247724771499634, 0.055246733129024506, 0.006865301169455051, -0.595169723033905, 0.21973825991153717, -0.7729735374450684, -0.07408076524734497, -0.05979567766189575, 0.05663442611694336, -0.05661998291971234, -0.3321256012865649, 0.9254985908490535,0.17302916710282695,-0.6614532470703125,0.17889404296875,-0.7275238037109375
