SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230118-1500,2023-01-18 15:00:19Z,u01, 1,100,movements,wr-su, rt, d,125681.47375100001, -0.002473892665296656, 0.3911867732473056, 0.0004901436901619082, 0.09143703430891037, -0.04061993956565857, -0.08370953053236008, -0.002287005539983511, -0.38128581643104553, -0.924454391002655, -0.007860089652240276, -0.009201914072036743, 0.03698796033859253, 0.19434877823015156, -0.001165731159093368, 0.9809318276441857,-2.371692252312041e-20,-0.0024566650390625,-0.392608642578125,-0.885040283203125
20230118-1500,2023-01-18 15:00:19Z,u01, 2,100,movements,wr-su, rt, d,125681.48377400001, -0.0025462097128670885, 0.3921616926656026, -0.0003867431349445866, 0.10335201770067215, -0.043484169989824295, -0.07761834561824799, -0.0023529117461293936, -0.3821868896484375, -0.9240820407867432, -0.017941277474164963, -0.009689390659332275, 0.02271491289138794, 0.19482637660940938, -0.0012863827371688444, 0.980836822387787,-0.00043770079622333684,-0.0180206298828125,-0.3893585205078125,-0.890350341796875
20230118-1500,2023-01-18 15:00:19Z,u01, 3,100,movements,wr-su, rt, d,125681.493797, -0.0028153043299175245, 0.3932308929986285, -0.0012476053099145091, 0.10615099966526031, -0.07402477413415909, -0.08286743611097336, -0.002600425388664007, -0.38317471742630005, -0.9236722588539124, -0.0005581444129347801, -0.0031015872955322266, -0.0062288641929626465, 0.19535000566972105, -0.001502391023737577, 0.9807321016913936,-0.0008867696088632846,-0.014404296875,-0.390289306640625,-0.916961669921875
20230118-1500,2023-01-18 15:00:19Z,u01, 4,100,movements,wr-su, rt, d,125681.50382000001, -0.003264117664028095, 0.39429106809892817, -0.0021965782624205205, 0.10502288490533829, -0.08750888705253601, -0.09274004399776459, -0.0030136536806821823, -0.3841537535190582, -0.92326420545578, 0.010688824579119682, 0.004759162664413452, -0.012343645095825195, 0.19586880776632243, -0.0018155661072818312, 0.9806275008384887,-0.001396685714705156,0.0056304931640625,-0.3807830810546875,-0.9360504150390625
20230118-1500,2023-01-18 15:00:19Z,u01, 5,100,movements,wr-su, rt, d,125681.51384200001, -0.0037508941996529507, 0.39532766492614574, -0.003284366304523683, 0.09903555363416672, -0.09728402644395828, -0.11367960274219513, -0.003461581189185381, -0.3851105868816376, -0.9228639006614685, 0.009809236973524094, 0.0017334818840026855, -0.014941215515136719, 0.19637557006504647, -0.002161414904771443, 0.9805243312466505,-0.00197850124906934,0.006134033203125,-0.38006591796875,-0.936187744140625
20230118-1500,2023-01-18 15:00:19Z,u01, 6,100,movements,wr-su, rt, d,125681.52386500001, -0.004273797066780173, 0.3962652860981082, -0.004660704876166291, 0.08189944177865982, -0.10754545032978058, -0.1409303843975067, -0.003942603711038828, -0.38597574830055237, -0.922500491142273, 0.007284278981387615, -0.0023299455642700195, -0.013717710971832275, 0.19683299510341704, -0.002553787268347183, 0.9804299250506746,-0.002705377171358255,0.00543212890625,-0.3860931396484375,-0.93634033203125
20230118-1500,2023-01-18 15:00:19Z,u01, 7,100,movements,wr-su, rt, d,125681.533888, -0.004531023229607262, 0.3969899890807146, -0.006343875458417135, 0.06039651110768318, -0.07077731192111969, -0.16521412134170532, -0.004178626462817192, -0.386644184589386, -0.9222195148468018, -0.001940147951245308, -0.010862588882446289, -0.003058195114135742, 0.19718554472976532, -0.0028464984944424248, 0.9803556665212564,-0.003556384445090816,0.0003662109375,-0.391265869140625,-0.9348907470703125
20230118-1500,2023-01-18 15:00:19Z,u01, 8,100,movements,wr-su, rt, d,125681.54391000001, -0.004391537674310536, 0.39745293673310456, -0.008139225405371554, 0.0337957926094532, -0.04081488400697708, -0.16363859176635742, -0.00404920382425189, -0.38707107305526733, -0.9220409989356995, -0.020929433405399323, -0.025328248739242554, 0.012037396430969238, 0.19741015107523227, -0.0029559568032356395, 0.9803065613181661,-0.004422984120361561,-0.0157318115234375,-0.40478515625,-0.9150390625
20230118-1500,2023-01-18 15:00:19Z,u01, 9,100,movements,wr-su, rt, d,125681.553933, -0.004068051410003352, 0.3976057318677517, -0.009987378525466563, -0.0012576095759868622, -0.0384523943066597, -0.17979000508785248, -0.0037506953813135624, -0.38721194863319397, -0.9219831228256226, -0.020617591217160225, -0.026163965463638306, 0.013535857200622559, 0.19748309251225082, -0.002980163888279151, 0.9802874373331857,-0.0052970082174985875,-0.0292510986328125,-0.414215087890625,-0.9080352783203125
20230118-1500,2023-01-18 15:00:19Z,u01, 10,100,movements,wr-su, rt, d,125681.56395600001, -0.00379687161471126, 0.39750524635363343, -0.012001753728714313, -0.017099156975746155, -0.06239234656095505, -0.1884748488664627, -0.0035008196718990803, -0.387119323015213, -0.9220229983329773, -0.0023127784952521324, -0.020824432373046875, 0.02209019660949707, 0.19743159478344666, -0.003045872002368808, 0.9802919176925036,-0.00625752865513644,-0.0146331787109375,-0.4120025634765625,-0.9049835205078125
20230118-1500,2023-01-18 15:00:19Z,u01, 11,100,movements,wr-su, rt, d,125681.57397900001, -0.0036927980287006007, 0.3974174633117878, -0.014046089909544304, 0.003155020996928215, -0.07089795917272568, -0.18299449980258942, -0.003404986811801791, -0.38703837990760803, -0.9220573306083679, 0.01228560321033001, -0.019333750009536743, 0.02441328763961792, 0.1973857305773085, -0.0031963816351977593, 0.9802938353771062,-0.007249256344642041,0.002960205078125,-0.4073028564453125,-0.8961334228515625
20230118-1500,2023-01-18 15:00:19Z,u01, 12,100,movements,wr-su, rt, d,125681.58400100001, -0.0036963984983864793, 0.3976244106748112, -0.0160016709967861, 0.03710446506738663, -0.07854682207107544, -0.17772862315177917, -0.003408010583370924, -0.38722917437553406, -0.921977162361145, 0.01607280597090721, -0.013878673315048218, 0.019618213176727295, 0.19748393126814534, -0.003391920611704056, 0.9802658311837027,-0.008208154294560871,0.0114898681640625,-0.4053802490234375,-0.899505615234375
