SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230215-1533,2023-02-15 15:33:30Z,u02, 1040,100,movements,el-ex, lt, nd,281279.962809125, -0.8452497484273948, -0.2943521796389711, 1.0845858168531006, -0.08167994022369385, 0.7380184531211853, 0.07473955303430557, -0.7159596681594849, 0.2901199460029602, -0.6350055932998657, 0.11923426389694214, -0.05769813060760498, 0.06772959232330322, 0.09483906835672584, -0.4165366226231649, 0.7416790881461548,0.5171217095102677,-0.5884246826171875,0.279510498046875,-0.48736572265625
20230215-1533,2023-02-15 15:33:30Z,u02, 1041,100,movements,el-ex, lt, nd,281279.972831125, -0.8377508760764121, -0.29481263021794823, 1.0848267383674168, 0.04728759825229645, 0.7336479425430298, 0.023431409150362015, -0.711078405380249, 0.2905605733394623, -0.6402671337127686, 0.1085699200630188, -0.11056792736053467, 0.020714521408081055, 0.09276405108415695, -0.4138372505899831, 0.7430990717448086,0.5176265900487709,-0.5967254638671875,0.232421875,-0.5672760009765625
20230215-1533,2023-02-15 15:33:30Z,u02, 1042,100,movements,el-ex, lt, nd,281279.98285412503, -0.8304152575176355, -0.294342101223608, 1.0854373808008693, 0.09181778132915497, 0.6884522438049316, -0.013233393430709839, -0.7064634561538696, 0.290110319852829, -0.64555823802948, 0.0804564356803894, -0.11329150199890137, 0.0005387067794799805, 0.09117991911166962, -0.41098310791575715, 0.7445293428408981,0.5181265976630889,-0.602508544921875,0.17999267578125,-0.6195526123046875
20230215-1533,2023-02-15 15:33:30Z,u02, 1043,100,movements,el-ex, lt, nd,281279.99287612503, -0.8237975944928719, -0.2936364414192292, 1.0858257331601857, 0.046453721821308136, 0.6084588766098022, -0.035007983446121216, -0.7023259401321411, 0.28943490982055664, -0.6503580808639526, 0.04091852903366089, -0.054586946964263916, 0.022550463676452637, 0.0898288912838059, -0.4083524420320062, 0.7458971692124509,0.5184751116078202,-0.626007080078125,0.17681884765625,-0.64501953125
20230215-1533,2023-02-15 15:33:30Z,u02, 1044,100,movements,el-ex, lt, nd,281280.00289912504, -0.8182329982126597, -0.29334344930296674, 1.085557682297914, -0.04870688170194626, 0.5137680768966675, -0.04454289749264717, -0.6987580060958862, 0.2891544699668884, -0.6543141603469849, 0.017849862575531006, -0.027237385511398315, 0.05664259195327759, 0.08844977683281006, -0.4062260092819058, 0.747146624130248,0.5185836891028913,-0.661407470703125,0.2348480224609375,-0.6278076171875
20230215-1533,2023-02-15 15:33:30Z,u02, 1045,100,movements,el-ex, lt, nd,281280.012922125, -0.8138814048151924, -0.2936428807632074, 1.0844898402349739, -0.12726449966430664, 0.41771504282951355, -0.05163836106657982, -0.6958410739898682, 0.2894410789012909, -0.6572891473770142, -0.0062767863273620605, -0.02439597249031067, 0.05458223819732666, 0.08698424251652728, -0.4047087509600427, 0.7482580669569974,0.5184152918829221,-0.680908203125,0.2619171142578125,-0.5976715087890625
20230215-1533,2023-02-15 15:33:30Z,u02, 1046,100,movements,el-ex, lt, nd,281280.022944125, -0.8106612999909572, -0.2943351278020972, 1.0828989081074976, -0.18085423111915588, 0.3228687047958374, -0.05524028465151787, -0.6935755014419556, 0.29010364413261414, -0.6593881249427795, -0.003323793411254883, -0.02887323498725891, 0.062449097633361816, 0.08554854832076622, -0.4037169439412839, 0.7492113046965558,0.5180504807238336,-0.702117919921875,0.265045166015625,-0.6027069091796875
20230215-1533,2023-02-15 15:33:30Z,u02, 1047,100,movements,el-ex, lt, nd,281280.032967125, -0.8080192692250174, -0.29498227809694616, 1.0814206969144446, -0.09534309804439545, 0.29773592948913574, -0.05537509545683861, -0.6916951537132263, 0.29072290658950806, -0.6610884666442871, 0.024382591247558594, -0.029934942722320557, 0.04980611801147461, 0.08430448006859749, -0.40292495196129335, 0.7500246450698709,0.5176941353159932,-0.6968994140625,0.26123046875,-0.5969390869140625
20230215-1533,2023-02-15 15:33:30Z,u02, 1048,100,movements,el-ex, lt, nd,281280.042990125, -0.8052223155779902, -0.2946878194394027, 1.0808462033288375, 0.03383034095168114, 0.2915906608104706, -0.05648377165198326, -0.6899051070213318, 0.2904411554336548, -0.6630797982215881, 0.04653364419937134, -0.018560081720352173, -0.010977208614349365, 0.08358424397635518, -0.40183799573684886, 0.7507824551010098,0.5175572160243174,-0.6673126220703125,0.2607879638671875,-0.6112823486328125
20230215-1533,2023-02-15 15:33:30Z,u02, 1049,100,movements,el-ex, lt, nd,281280.053012125, -0.8023033779113977, -0.2939732256761943, 1.0809251779262559, 0.07004320621490479, 0.29082101583480835, -0.03319144248962402, -0.6881157159805298, 0.28975728154182434, -0.6652348041534424, 0.05344170331954956, 0.038276076316833496, -0.05339306592941284, 0.08313416129118743, -0.4005886856844149, 0.7514599995711129,0.5176148074089969,-0.64337158203125,0.271881103515625,-0.6740570068359375
