SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230421-1526,2023-04-21 15:26:49,u01, 1,100,misc,misc1, lt, d,958085.0384473751, -0.3077113884008595, 0.09276417100968219, 0.014396062715333167, -0.029736150056123734, 0.016968511044979095, -0.10014120489358902, -0.30157607793807983, -0.09263118356466293, -0.9489316940307617, 0.03643938899040222, -0.0023090094327926636, -0.004712104797363281, 0.04691847471352105, -0.15275082647800245, 0.987150440895525,0.0,-0.2650146484375,-0.087921142578125,-0.95123291015625
20230421-1526,2023-04-21 15:26:49,u01, 2,100,misc,misc1, lt, d,958085.048470375, -0.3073470035025722, 0.09274316210937555, 0.013485026445726207, -0.008448722772300243, 0.017558401450514793, -0.0738607868552208, -0.30123087763786316, -0.09261026978492737, -0.949043333530426, 0.014762431383132935, 0.008885301649570465, 0.0024033784866333008, 0.0468386022784265, -0.1525924759422139, 0.9871786086811278,-0.0004395201862039677,-0.3129425048828125,-0.0877838134765625,-0.9455718994140625
20230421-1526,2023-04-21 15:26:49,u01, 3,100,misc,misc1, lt, d,958085.0584933751, -0.3071119720656091, 0.0928361227456965, 0.01298105361331834, 0.005170682445168495, 0.011286655440926552, -0.029809169471263885, -0.30100521445274353, -0.09270282834768295, -0.9491059184074402, -0.027608036994934082, -0.001108214259147644, -0.0006316304206848145, 0.0468461114706752, -0.15248763772147308, 0.9871942984332086,-0.000689891475742499,-0.33038330078125,-0.09503173828125,-0.95123291015625
20230421-1526,2023-04-21 15:26:49,u01, 4,100,misc,misc1, lt, d,958085.068516375, -0.30698500691829905, 0.09291876899142867, 0.012742995245666317, 0.006715372670441866, 0.008520696312189102, -0.033629823476076126, -0.30088239908218384, -0.09278512001037598, -0.9491368532180786, -0.025991380214691162, 0.0023462772369384766, 0.008783459663391113, 0.046868800655696506, -0.152429984182412, 0.9872020709432655,-0.0008107461240995095,-0.3196563720703125,-0.084136962890625,-0.9240264892578125
20230421-1526,2023-04-21 15:26:49,u01, 5,100,misc,misc1, lt, d,958085.0785393751, -0.30703248763600427, 0.09306618112073652, 0.012422437132800829, -0.012632759287953377, 0.014560213312506676, -0.029581017792224884, -0.30092331767082214, -0.09293189644813538, -0.9491094946861267, -0.007090568542480469, 0.009252689778804779, 0.03020995855331421, 0.04691710096008888, -0.15245995313241245, 0.9871950070372768,-0.0009813651201376339,-0.2964630126953125,-0.094146728515625,-0.9278411865234375
20230421-1526,2023-04-21 15:26:49,u01, 6,100,misc,misc1, lt, d,958085.088562375, -0.3075549430304699, 0.09364409705342651, 0.012190624616832487, -0.011266101151704788, 0.013722116127610207, -0.036503106355667114, -0.30140283703804016, -0.09350728988647461, -0.9489008188247681, 0.008815586566925049, -0.005980007350444794, 0.008410096168518066, 0.04718436064596429, -0.15271946284156512, 0.9871419768951641,-0.0011523309390113201,-0.2903594970703125,-0.09429931640625,-0.9502105712890625
20230421-1526,2023-04-21 15:26:49,u01, 7,100,misc,misc1, lt, d,958085.0985843751, -0.307720899834713, 0.09378646742342311, 0.011499739793656039, -0.03508621081709862, -0.004261677619069815, -0.09462232887744904, -0.3015562891960144, -0.09364903718233109, -0.9488380551338196, 0.015713393688201904, 0.011358395218849182, -0.00392073392868042, 0.047201742844586864, -0.15281675501393188, 0.987125568194749,-0.0015081592534098576,-0.27801513671875,-0.066436767578125,-0.949371337890625
20230421-1526,2023-04-21 15:26:49,u01, 8,100,misc,misc1, lt, d,958085.1086073751, -0.307703987147538, 0.09352578518073813, 0.010399571911078596, -0.04867517948150635, -0.02772226184606552, -0.0967697948217392, -0.3015476167201996, -0.09338949620723724, -0.9488664269447327, 0.029132485389709473, 0.034734711050987244, 0.0023331642150878906, 0.04698903844291675, -0.15283595698911362, 0.9871317812293582,-0.0020307794122439993,-0.270263671875,-0.064788818359375,-0.94805908203125
20230421-1526,2023-04-21 15:26:49,u01, 9,100,misc,misc1, lt, d,958085.118630375, -0.3076940683101126, 0.09352986088710759, 0.009545974799767112, 0.00028357235714793205, -0.04223356023430824, -0.06135508790612221, -0.3015380799770355, -0.09339355677366257, -0.9488690495491028, 0.02819216251373291, 0.014993906021118164, -0.003233611583709717, 0.04692582619526681, -0.15285107353581404, 0.9871315226580042,-0.0024521647456779982,-0.2826080322265625,-0.0864105224609375,-0.956878662109375
20230421-1526,2023-04-21 15:26:49,u01, 10,100,misc,misc1, lt, d,958085.1286533751, -0.30801359202343387, 0.0938309770305891, 0.009041110345569911, 0.05553651601076126, -0.05370086804032326, -0.0650007426738739, -0.3018327057361603, -0.09369335323572159, -0.9487457871437073, 0.012037813663482666, 0.012714952230453491, -0.010543763637542725, 0.047035413269973396, -0.15301886099256484, 0.9870996042404655,-0.0027319400692902007,-0.293426513671875,-0.069610595703125,-0.9560699462890625
