SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230215-1556,2023-02-15 15:56:26Z,u02, 1267,100,movements,el-ex, lt, nd,282397.46374441666, -0.8686932864232786, -0.19548209462005406, 0.31223027971053563, 0.021627983078360558, 0.09632184356451035, 0.05524955317378044, -0.7489444017410278, 0.19423946738243103, -0.633524477481842, 0.019757509231567383, -0.01923637092113495, 0.09141021966934204, -0.022330431066769782, -0.42747997270449556, 0.885451131128293,0.1809376686800841,-0.72918701171875,0.1750030517578125,-0.5421142578125
20230215-1556,2023-02-15 15:56:26Z,u02, 1268,100,movements,el-ex, lt, nd,282397.47376741667, -0.8676607591059192, -0.19590442061235155, 0.3127376584103371, 0.0024945023469626904, 0.08822636306285858, 0.07354786992073059, -0.7482272982597351, 0.1946537345647812, -0.6342443823814392, -0.006350338459014893, -0.005383655428886414, 0.07243096828460693, -0.02250522842496612, -0.42704956606925565, 0.8855936616369391,0.18123512155550234,-0.75457763671875,0.18927001953125,-0.5618133544921875
20230215-1556,2023-02-15 15:56:26Z,u02, 1269,100,movements,el-ex, lt, nd,282397.4837914167, -0.8667403815446586, -0.19655275672382624, 0.3131902373029746, -0.021448057144880295, 0.07710447162389755, 0.08103760331869125, -0.7475468516349792, 0.19528962671756744, -0.6348509192466736, -0.012905359268188477, 0.009819075465202332, 0.05172097682952881, -0.022783358972586654, -0.4266795883905752, 0.8856993880291956,0.18155451906047404,-0.7604522705078125,0.205108642578125,-0.5831298828125
20230215-1556,2023-02-15 15:56:26Z,u02, 1270,100,movements,el-ex, lt, nd,282397.4938154167, -0.8659010470862207, -0.19736930530914862, 0.3134807541423043, -0.03313986584544182, 0.07842406630516052, 0.07702288776636124, -0.7468920350074768, 0.19609038531780243, -0.6353745460510254, -0.028696954250335693, 0.011413946747779846, 0.03388833999633789, -0.023164534918383287, -0.4263521161123466, 0.8857893349730145,0.18183631387655552,-0.7755889892578125,0.2075042724609375,-0.6014862060546875
20230215-1556,2023-02-15 15:56:26Z,u02, 1271,100,movements,el-ex, lt, nd,282397.5038384167, -0.8649577368457863, -0.19798897927923964, 0.31380362972717935, -0.0034636352211236954, 0.09589920192956924, 0.057651620358228683, -0.7461997270584106, 0.19669799506664276, -0.6359999179840088, -0.05065995454788208, -0.0021331310272216797, 0.006422281265258789, -0.02346004025595183, -0.4259691024500238, 0.8859134091354474,0.18209169024555616,-0.7968597412109375,0.1945648193359375,-0.62957763671875
20230215-1556,2023-02-15 15:56:26Z,u02, 1272,100,movements,el-ex, lt, nd,282397.5138624167, -0.8639576311325702, -0.1982234098707218, 0.3141793372824109, 0.028597626835107803, 0.1172550842165947, 0.03654926270246506, -0.7455281615257263, 0.19692784547805786, -0.6367158889770508, -0.0687875747680664, -0.017499670386314392, -0.014285087585449219, -0.023576531882517127, -0.42554225221834147, 0.8860739960764464,0.18229298868593455,-0.8143157958984375,0.1794281005859375,-0.6510009765625
20230215-1556,2023-02-15 15:56:26Z,u02, 1273,100,movements,el-ex, lt, nd,282397.5238854167, -0.8628173582745365, -0.19808735817522033, 0.31465473148045603, 0.051756247878074646, 0.12971974909305573, 0.022296344861388206, -0.744822084903717, 0.19679445028305054, -0.6375830173492432, -0.07011932134628296, -0.014512896537780762, -0.027562856674194336, -0.023518270350968776, -0.4250357304887551, 0.8862837281425912,0.18246316773611462,-0.81494140625,0.182281494140625,-0.6651458740234375
20230215-1556,2023-02-15 15:56:26Z,u02, 1274,100,movements,el-ex, lt, nd,282397.5339094167, -0.8617277761731189, -0.19773031089684315, 0.31509271989087567, 0.05832653492689133, 0.131737619638443, 0.0011828034184873104, -0.7441802024841309, 0.19644437730312347, -0.6384398937225342, -0.07379764318466187, -0.0016658753156661987, -0.03331303596496582, -0.023364123629728895, -0.42453994399277356, 0.8865026241451703,0.1825737046984211,-0.8179779052734375,0.1947784423828125,-0.6717529296875
20230215-1556,2023-02-15 15:56:26Z,u02, 1275,100,movements,el-ex, lt, nd,282397.54393341666, -0.8607902576452481, -0.1972446633537341, 0.3154498177440083, 0.06956233084201813, 0.12235157936811447, -0.013913165777921677, -0.7436535954475403, 0.1959681659936905, -0.639199435710907, -0.06487905979156494, 0.011337801814079285, -0.028159022331237793, -0.023155535309086858, -0.42410387973482333, 0.8867062976640584,0.18262488997506093,-0.80853271484375,0.207305908203125,-0.6673583984375
20230215-1556,2023-02-15 15:56:26Z,u02, 1276,100,movements,el-ex, lt, nd,282397.55395641667, -0.8600264772811171, -0.19665539187877293, 0.3157906489387786, 0.0799499973654747, 0.10078396648168564, -0.025827614590525627, -0.7432525753974915, 0.19539028406143188, -0.6398424506187439, -0.055789172649383545, 0.006407260894775391, -0.02196180820465088, -0.022887958919936238, -0.4237392016707493, 0.8868822542689814,0.18265059883397813,-0.799041748046875,0.2017974853515625,-0.66180419921875
