SessionID,LoggingTime,UID,RecNo,Hertz,Activity,MoveType,Wrist,Side,TimeStamp,DMRoll,DMPitch,DMYaw,DMRotX,DMRotY,DMRotZ,DMGrvX,DMGrvY,DMGrvZ,DMUAccelX,DMUAccelY,DMUAccelZ,DMQuatX,DMQuatY,DMQuatW,DMQuatZ,AccelroX,AceelroY,AceelroZ
20230215-1542,2023-02-15 15:42:30Z,u02, 800,100,movements,misc1, lt, nd,281720.652625125, -0.9479282613703324, -0.1897030811221425, 1.0490595941048215, -0.7598915100097656, -0.5132960081100464, 0.027450093999505043, -0.7976378798484802, 0.18856731057167053, -0.5729015469551086, 0.3486937880516052, -0.10513222217559814, 0.3079632520675659, 0.15460896074038713, -0.43548281580816134, 0.7450352482522081,0.4810127366073604,-0.44195556640625,0.0775299072265625,-0.2720794677734375
20230215-1542,2023-02-15 15:42:30Z,u02, 801,100,movements,misc1, lt, nd,281720.66264912504, -0.9539008758245765, -0.19439523099059566, 1.042773753646303, -0.7727444171905518, -0.4366435408592224, 0.02124311774969101, -0.8003148436546326, 0.19317318499088287, -0.5676093101501465, 0.35646718740463257, -0.11680294573307037, 0.28996044397354126, 0.15281784589611838, -0.4391378520909085, 0.7445308785230585,0.4790390995122559,-0.45172119140625,0.085418701171875,-0.2874755859375
20230215-1542,2023-02-15 15:42:30Z,u02, 802,100,movements,misc1, lt, nd,281720.67267212505, -0.9589563821292238, -0.19892507766197007, 1.0365952300165375, -0.7392679452896118, -0.34108319878578186, 0.021746188402175903, -0.8024495840072632, 0.19761572778224945, -0.5630477070808411, 0.3537801504135132, -0.09835727512836456, 0.26443320512771606, 0.15087710928549924, -0.4423937737606436, 0.7442071261406562,0.4771578914620973,-0.4342803955078125,0.1097564697265625,-0.315093994140625
20230215-1542,2023-02-15 15:42:30Z,u02, 803,100,movements,misc1, lt, nd,281720.682695125, -0.9629276773012778, -0.20324681244460752, 1.0307992019996253, -0.6726686954498291, -0.22057968378067017, 0.03633320331573486, -0.8039707541465759, 0.20185036957263947, -0.5593635439872742, 0.3846439719200134, -0.08852331340312958, 0.2231971025466919, 0.1488297818895248, -0.44516057348294885, 0.7440480886267544,0.4754727003118582,-0.4010467529296875,0.1157989501953125,-0.353759765625
20230215-1542,2023-02-15 15:42:30Z,u02, 804,100,movements,misc1, lt, nd,281720.692718125, -0.9656867335181033, -0.2071785779318806, 1.025740803943701, -0.6043226718902588, -0.13158589601516724, 0.0440577007830143, -0.8048520684242249, 0.2056996375322342, -0.5566874146461487, 0.42309242486953735, -0.0994221568107605, 0.19934189319610596, 0.1468015878352089, -0.44733162630318163, 0.7440319909279494,0.4740887589697423,-0.3720550537109375,0.0954437255859375,-0.3521270751953125
20230215-1542,2023-02-15 15:42:30Z,u02, 805,100,movements,misc1, lt, nd,281720.702741125, -0.967625719632619, -0.21098165531813087, 1.0210069676571132, -0.594161331653595, -0.06696348637342453, 0.04906627908349037, -0.8052798509597778, 0.20941989123821259, -0.5546779632568359, 0.44769012928009033, -0.1062857061624527, 0.21216392517089844, 0.14469448601271792, -0.4491375170631721, 0.7441345450147725,0.4728665535531804,-0.3594818115234375,0.1069183349609375,-0.323760986328125
20230215-1542,2023-02-15 15:42:30Z,u02, 806,100,movements,misc1, lt, nd,281720.712764125, -0.9690850038937285, -0.21494408139488647, 1.016106653821927, -0.6411251425743103, -0.021911324933171272, 0.050891607999801636, -0.8053979873657227, 0.21329279243946075, -0.5530281662940979, 0.42012888193130493, -0.11884087324142456, 0.2658120393753052, 0.1423665128371253, -0.4507967193678001, 0.7443534792262885,0.47164808088850907,-0.4063262939453125,0.0893707275390625,-0.2476654052734375
20230215-1542,2023-02-15 15:42:30Z,u02, 807,100,movements,misc1, lt, nd,281720.72278812504, -0.9701357996999159, -0.21908117360326845, 1.0108826853124737, -0.6529594659805298, 0.032623291015625, 0.049884483218193054, -0.8052439093589783, 0.2173328548669815, -0.5516781806945801, 0.3779671788215637, -0.11851689219474792, 0.3232998251914978, 0.13979300303962527, -0.45234813180036126, 0.7447082274487284,0.47037095971179194,-0.445098876953125,0.1072998046875,-0.2332611083984375
20230215-1542,2023-02-15 15:42:30Z,u02, 808,100,movements,misc1, lt, nd,281720.732811125, -0.9704675404330233, -0.22301561658346203, 1.0059350789195909, -0.5793579816818237, 0.11303557455539703, 0.05291622504591942, -0.8047150373458862, 0.2211715579032898, -0.5509237051010132, 0.34090888500213623, -0.1108199805021286, 0.2873739004135132, 0.1371871590560827, -0.45356128504339405, 0.7451867003536768,0.4692107391884879,-0.47735595703125,0.103729248046875,-0.30242919921875
20230215-1542,2023-02-15 15:42:30Z,u02, 809,100,movements,misc1, lt, nd,281720.742834125, -0.9697343140924418, -0.22646739273155728, 1.0018466478327024, -0.4558146297931671, 0.21020767092704773, 0.06278374046087265, -0.8036764860153198, 0.22453652322292328, -0.5510785579681396, 0.32575589418411255, -0.12137182056903839, 0.21288275718688965, 0.13471398965061085, -0.45421675002010603, 0.7457766218063879,0.46835526806260847,-0.4804229736328125,0.114898681640625,-0.368133544921875
